"ds","intl_passengers"
2015-01-01,1467772.62558206
2015-02-01,1407144.05347307
2015-03-01,1635604.32094487
2015-04-01,1707139.89188093
2015-05-01,1282621.76878222
2015-06-01,1513101.33933685
2015-07-01,1626677.3001455
2015-08-01,1385218.80789369
2015-09-01,1421192.89196081
2015-10-01,1302087.15530779
2015-11-01,1484545.40619168
2015-12-01,1761077.43850054
2016-01-01,1548087.61125501
2016-02-01,1484141.50697828
2016-03-01,1725102.88176671
2016-04-01,1840536.29027408
2016-05-01,1382846.19987303
2016-06-01,1631335.50985289
2016-07-01,1861573.88663139
2016-08-01,1585248.13730105
2016-09-01,1626416.97606756
2016-10-01,1495389.56674378
2016-11-01,1704934.80618944
2016-12-01,2022519.62706679
2017-01-01,1779388.69131779
2017-02-01,1705888.34548684
2017-03-01,1982851.96319537
2017-04-01,2091748.63946587
2017-05-01,1571589.03764088
2017-06-01,1853994.32289325
2017-07-01,2119584.75223299
2017-08-01,1804960.74018811
2017-09-01,1851835.5075789
2017-10-01,1720809.02664423
2017-11-01,1961941.73717504
2017-12-01,2327400.23618072
2018-01-01,2034695.33228788
2018-02-01,1950649.15883883
2018-03-01,2267351.50887329
2018-04-01,2330630.00612867
2018-05-01,1751067.26464229
2018-06-01,2065723.72922904
2018-07-01,2277757.13804481
2018-08-01,1939654.55050706
2018-09-01,1990027.31144813
2018-10-01,1897974.03348594
2018-11-01,2163932.4380069
2018-12-01,2567016.52850716
2019-01-01,2172552.72456567
2019-02-01,2082812.14266207
2019-03-01,2420972.13277226
2019-04-01,2044788.9217112
2019-05-01,1536306.8931989
2019-06-01,1812372.1850899
2019-07-01,2082455.57000982
2019-08-01,1773342.88855113
2019-09-01,1819396.54143905
2019-10-01,1850520.40936602
2019-11-01,2109829.25496941
2019-12-01,2502835.33566456
2020-01-01,1678672.39568791
2020-02-01,1609332.28904232
2020-03-01,1870619.31526976
2020-04-01,113084.872213577
2020-05-01,84963.8155085688
2020-06-01,100231.312277854
2020-07-01,376813.534070221
2020-08-01,320880.603925726
2020-09-01,329213.862004053
2020-10-01,510508.26314682
2020-11-01,582044.522740383
2020-12-01,690464.214112798
2021-01-01,751032.700381479
2021-02-01,720010.156809221
2021-03-01,836909.1428093
2021-04-01,417905.243837309
2021-05-01,313983.854271833
2021-06-01,370404.901890858
2021-07-01,617110.375282835
2021-08-01,525508.592461241
2021-09-01,539156.032255924
2021-10-01,1029480.91882798
2021-11-01,1173739.53239467
2021-12-01,1392376.54877734
2022-01-01,1246022.68037343
2022-02-01,1194553.82572266
2022-03-01,1388498.49390391
2022-04-01,1905431.18990419
2022-05-01,1431603.54620674
2022-06-01,1688854.26388907
2022-07-01,2115578.13530283
2022-08-01,1801548.85196222
2022-09-01,1848335.01273494
2022-10-01,1805621.0201275
2022-11-01,2058638.22542647
2022-12-01,2442108.75444603
2023-01-01,2200134.22567645
2023-02-01,2109254.34808098
2023-03-01,2451707.42624257
2023-04-01,2595362.26824794
2023-05-01,1949967.98971351
2023-06-01,2300365.74203855
2023-07-01,2595909.82262886
2023-08-01,2210581.72360297
2023-09-01,2267990.45376817
2023-10-01,2206593.80789339
2023-11-01,2515798.33768101
2023-12-01,2984425.8544256
2024-01-01,2587067.29131889
2024-02-01,2480204.5572082
2024-03-01,2882884.15147291
2024-04-01,3051530.52243846
2024-05-01,2292699.9098302
2024-06-01,2704684.56773134
2024-07-01,3010279.29004321
2024-08-01,2563443.58478952
2024-09-01,2630016.12516727
2024-10-01,2470746.53188878
2024-11-01,2816966.12920852
2024-12-01,3341693.33890269
