ds,beverage_prod_index
2013-01-01,110.03
2013-04-01,136.97
2013-07-01,86.73
2013-10-01,88.90
2014-01-01,106.43
2014-04-01,135.40
2014-07-01,98.43
2014-10-01,90.70
2015-01-01,108.27
2015-04-01,123.63
2015-07-01,89.80
2015-10-01,99.97
2016-01-01,125.53
2016-04-01,128.53
2016-07-01,97.37
2016-10-01,94.80
2017-01-01,104.37
2017-04-01,112.80
2017-07-01,95.77
2017-10-01,99.57
2018-01-01,113.60
2018-04-01,122.23
2018-07-01,103.23
2018-10-01,99.47
2019-01-01,112.00
2019-04-01,127.93
2019-07-01,100.60
2019-10-01,97.30
2020-01-01,99.80
2020-04-01,48.67
2020-07-01,80.10
2020-10-01,86.37
2021-01-01,100.27
2021-04-01,76.10
2021-07-01,87.27
2021-10-01,88.00
2022-01-01,100.67
2022-04-01,121.30
2022-07-01,96.37
2022-10-01,93.63
2023-01-01,110.73
2023-04-01,119.43
2023-07-01,104.80
2023-10-01,100.53
