ds,import
01-01-1990,5672628000
01-04-1990,5326000000
01-07-1990,5756000000
01-10-1990,6829000000
01-01-1991,6126000000
01-04-1991,4839000000
01-07-1991,4441000000
01-10-1991,5082000000
01-01-1992,5033000000
01-04-1992,5624000000
01-07-1992,5621000000
01-10-1992,5465000000
01-01-1993,5183000000
01-04-1993,5469000000
01-07-1993,5727000000
01-10-1993,5951000000
01-01-1994,6159000000
01-04-1994,6014000000
01-07-1994,6962000000
01-10-1994,7707000000
01-01-1995,7965000000
01-04-1995,8366000000
01-07-1995,9148000000
01-10-1995,9230000000
01-01-1996,9852000000
01-04-1996,9261000000
01-07-1996,8919000000
01-10-1996,9914000000
01-01-1997,11016000000
01-04-1997,10030000000
01-07-1997,9788000000
01-10-1997,10602000000
01-01-1998,10994000000
01-04-1998,10495000000
01-07-1998,11024000000
01-10-1998,10462000000
01-01-1999,10420000000
01-04-1999,10658000000
01-07-1999,13011000000
01-10-1999,12879000000
01-01-2000,13094000000
01-04-2000,12800000000
01-07-2000,12729000000
01-10-2000,12938000000
01-01-2001,12089000000
01-04-2001,12785000000
01-07-2001,13197000000
01-10-2001,12330000000
01-01-2002,12435000000
01-04-2002,13639000000
01-07-2002,14821000000
01-10-2002,15637000000
01-01-2003,16093000000
01-04-2003,17666000000
01-07-2003,17874000000
01-10-2003,20936000000
01-01-2004,21776000000
01-04-2004,23777000000
01-07-2004,25424000000
01-10-2004,28804000000
01-01-2005,33735000000
01-04-2005,36371000000
01-07-2005,37165000000
01-10-2005,35599000000
01-01-2006,38743000000
01-04-2006,42430600000
01-07-2006,47663200000
01-10-2006,49573200000
01-01-2007,46068200000
01-04-2007,59536100000
01-07-2007,59712000000
01-10-2007,64053600000
01-01-2008,67222500000
01-04-2008,88711100000
01-07-2008,96284400000
01-10-2008,68813800000
01-01-2009,49887000000
01-04-2009,62432100000
01-07-2009,65699400000
01-10-2009,79183700000
01-01-2010,81057700000
01-04-2010,90070600000
01-07-2010,86289400000
01-10-2010,92815100000
01-01-2011,1.01E+11
01-04-2011,1.23E+11
01-07-2011,1.21E+11
01-10-2011,1.20E+11
01-01-2012,1.25E+11
01-04-2012,1.17E+11
01-07-2012,1.20E+11
01-10-2012,1.28E+11
01-01-2013,1.26E+11
01-04-2013,1.21E+11
01-07-2013,1.10E+11
01-10-2013,1.08E+11
01-01-2014,1.11E+11
01-04-2014,1.13E+11
01-07-2014,1.21E+11
01-10-2014,1.18E+11
01-01-2015,96419470000
01-04-2015,99880490000
01-07-2015,1.02E+11
01-10-2015,95141220000
01-01-2016,83595790000
01-04-2016,84892430000
01-07-2016,90448930000
01-10-2016,1.03E+11
01-01-2017,1.06E+11
01-04-2017,1.14E+11
01-07-2017,1.08E+11
01-10-2017,1.21E+11
01-01-2018,1.21E+11
01-04-2018,1.29E+11
01-07-2018,1.33E+11
01-10-2018,1.31E+11
01-01-2019,1.22E+11
01-04-2019,1.30E+11
01-07-2019,1.18E+11
01-10-2019,1.16E+11
01-01-2020,1.11E+11
01-04-2020,61269200000
01-07-2020,90668420000
01-10-2020,1.11E+11
01-01-2021,1.32E+11
01-04-2021,1.27E+11
01-07-2021,1.48E+11
01-10-2021,1.67E+11
01-01-2022,1.72E+11
01-04-2022,1.84E+11
01-07-2022,1.89E+11
01-10-2022,1.76E+11
01-01-2023,1.67E+11
01-04-2023,1.60E+11
01-07-2023,1.69E+11
01-10-2023,1.75E+11
01-01-2024,1.70E+11
01-04-2024,1.72E+11
01-07-2024,1.87E+11
01-10-2024,1.87E+11
01-01-2025,1.74E+11
01-04-2025,1.80E+11
01-07-2025,1.96E+11
